Date,Anomaly
1885-02-01,-0.37
1885-03-01,-0.26
1885-04-01,-0.37
1885-05-01,-0.40
1885-06-01,-0.36
1885-07-01,-0.37
1885-08-01,-0.31
1885-09-01,-0.27
1885-10-01,-0.27
1885-11-01,-0.24
1885-12-01,-0.08
1886-01-01,-0.30
1886-02-01,-0.31
1886-03-01,-0.27
1886-04-01,-0.21
1886-05-01,-0.21
1886-06-01,-0.27
1886-07-01,-0.21
1886-08-01,-0.29
1886-09-01,-0.27
1886-10-01,-0.21
1886-11-01,-0.25
1886-12-01,-0.26
1887-01-01,-0.54
1887-02-01,-0.41
1887-03-01,-0.27
1887-04-01,-0.28
1887-05-01,-0.26
1887-06-01,-0.27
1887-07-01,-0.28
1887-08-01,-0.34
1887-09-01,-0.18
1887-10-01,-0.34
1887-11-01,-0.26
1887-12-01,-0.27
1888-01-01,-0.29
1888-02-01,-0.33
1888-03-01,-0.33
1888-04-01,-0.20
1888-05-01,-0.16
1888-06-01,-0.11
1888-07-01,-0.12
1888-08-01,-0.19
1888-09-01,-0.15
1888-10-01,-0.05
1888-11-01,-0.07
1888-12-01,-0.06
1889-01-01,-0.04
1889-02-01,0.10
1889-03-01,0.05
1889-04-01,0.04
1889-05-01,0.02
1889-06-01,-0.03
1889-07-01,-0.07
1889-08-01,-0.12
1889-09-01,-0.18
1889-10-01,-0.24
1889-11-01,-0.29
1889-12-01,-0.20
1890-01-01,-0.36
1890-02-01,-0.27
1890-03-01,-0.23
1890-04-01,-0.21
1890-05-01,-0.26
1890-06-01,-0.20
1890-07-01,-0.24
1890-08-01,-0.33
1890-09-01,-0.27
1890-10-01,-0.30
1890-11-01,-0.44
1890-12-01,-0.23
1891-01-01,-0.28
1891-02-01,-0.34
1891-03-01,-0.21
1891-04-01,-0.21
1891-05-01,-0.11
1891-06-01,-0.13
1891-07-01,-0.12
1891-08-01,-0.15
1891-09-01,-0.11
1891-10-01,-0.23
1891-11-01,-0.31
1891-12-01,-0.06
1892-01-01,-0.21
1892-02-01,-0.14
1892-03-01,-0.27
1892-04-01,-0.22
1892-05-01,-0.17
1892-06-01,-0.20
1892-07-01,-0.30
1892-08-01,-0.28
1892-09-01,-0.17
1892-10-01,-0.23
1892-11-01,-0.37
1892-12-01,-0.48
1893-01-01,-0.67
1893-02-01,-0.57
1893-03-01,-0.28
1893-04-01,-0.24
1893-05-01,-0.31
1893-06-01,-0.20
1893-07-01,-0.20
1893-08-01,-0.28
1893-09-01,-0.28
1893-10-01,-0.25
1893-11-01,-0.24
1893-12-01,-0.28
1894-01-01,-0.35
1894-02-01,-0.15
1894-03-01,-0.16
1894-04-01,-0.31
1894-05-01,-0.20
1894-06-01,-0.28
1894-07-01,-0.19
1894-08-01,-0.21
1894-09-01,-0.23
1894-10-01,-0.27
1894-11-01,-0.25
1894-12-01,-0.18
1895-01-01,-0.34
1895-02-01,-0.36
1895-03-01,-0.31
1895-04-01,-0.19
1895-05-01,-0.18
1895-06-01,-0.18
1895-07-01,-0.14
1895-08-01,-0.14
1895-09-01,-0.09
1895-10-01,-0.12
1895-11-01,-0.15
1895-12-01,-0.08
1896-01-01,-0.17
1896-02-01,-0.05
1896-03-01,-0.16
1896-04-01,-0.13
1896-05-01,-0.07
1896-06-01,-0.07
1896-07-01,-0.01
1896-08-01,-0.04
1896-09-01,-0.02
1896-10-01,0.04
1896-11-01,-0.07
1896-12-01,0.01
1897-01-01,-0.06
1897-02-01,-0.11
1897-03-01,-0.14
1897-04-01,0.08
1897-05-01,0.10
1897-06-01,-0.10
1897-07-01,-0.05
1897-08-01,-0.06
1897-09-01,-0.04
1897-10-01,-0.10
1897-11-01,-0.19
1897-12-01,-0.20
1898-01-01,0.00
1898-02-01,-0.22
1898-03-01,-0.47
1898-04-01,-0.26
1898-05-01,-0.20
1898-06-01,-0.15
1898-07-01,-0.17
1898-08-01,-0.21
1898-09-01,-0.22
1898-10-01,-0.36
1898-11-01,-0.33
1898-12-01,-0.15
1899-01-01,-0.23
1899-02-01,-0.30
1899-03-01,-0.30
1899-04-01,-0.21
1899-05-01,-0.18
1899-06-01,-0.22
1899-07-01,-0.10
1899-08-01,-0.03
1899-09-01,-0.02
1899-10-01,-0.07
1899-11-01,0.00
1899-12-01,-0.26
1900-01-01,-0.30
1900-02-01,-0.17
1900-03-01,-0.03
1900-04-01,-0.04
1900-05-01,-0.06
1900-06-01,-0.08
1900-07-01,-0.11
1900-08-01,-0.07
1900-09-01,-0.05
1900-10-01,0.05
1900-11-01,-0.08
1900-12-01,-0.06
1901-01-01,-0.13
1901-02-01,-0.08
1901-03-01,0.03
1901-04-01,0.00
1901-05-01,-0.09
1901-06-01,-0.08
1901-07-01,-0.08
1901-08-01,-0.14
1901-09-01,-0.18
1901-10-01,-0.28
1901-11-01,-0.21
1901-12-01,-0.37
1902-01-01,-0.16
1902-02-01,-0.04
1902-03-01,-0.26
1902-04-01,-0.27
1902-05-01,-0.26
1902-06-01,-0.25
1902-07-01,-0.23
1902-08-01,-0.23
1902-09-01,-0.22
1902-10-01,-0.27
1902-11-01,-0.31
1902-12-01,-0.27
1903-01-01,-0.15
1903-02-01,-0.03
1903-03-01,-0.17
1903-04-01,-0.30
1903-05-01,-0.33
1903-06-01,-0.30
1903-07-01,-0.32
1903-08-01,-0.40
1903-09-01,-0.42
1903-10-01,-0.48
1903-11-01,-0.46
1903-12-01,-0.46
1904-01-01,-0.49
1904-02-01,-0.53
1904-03-01,-0.54
1904-04-01,-0.47
1904-05-01,-0.45
1904-06-01,-0.40
1904-07-01,-0.44
1904-08-01,-0.42
1904-09-01,-0.49
1904-10-01,-0.36
1904-11-01,-0.26
1904-12-01,-0.35
1905-01-01,-0.26
1905-02-01,-0.45
1905-03-01,-0.36
1905-04-01,-0.42
1905-05-01,-0.24
1905-06-01,-0.20
1905-07-01,-0.18
1905-08-01,-0.22
1905-09-01,-0.21
1905-10-01,-0.22
1905-11-01,-0.09
1905-12-01,-0.09
1906-01-01,-0.21
1906-02-01,-0.21
1906-03-01,-0.19
1906-04-01,-0.09
1906-05-01,-0.21
1906-06-01,-0.16
1906-07-01,-0.21
1906-08-01,-0.21
1906-09-01,-0.26
1906-10-01,-0.21
1906-11-01,-0.35
1906-12-01,-0.19
1907-01-01,-0.36
1907-02-01,-0.40
1907-03-01,-0.25
1907-04-01,-0.30
1907-05-01,-0.39
1907-06-01,-0.32
1907-07-01,-0.35
1907-08-01,-0.31
1907-09-01,-0.32
1907-10-01,-0.26
1907-11-01,-0.38
1907-12-01,-0.42
1908-01-01,-0.37
1908-02-01,-0.31
1908-03-01,-0.51
1908-04-01,-0.41
1908-05-01,-0.34
1908-06-01,-0.31
1908-07-01,-0.35
1908-08-01,-0.42
1908-09-01,-0.36
1908-10-01,-0.44
1908-11-01,-0.54
1908-12-01,-0.45
1909-01-01,-0.50
1909-02-01,-0.38
1909-03-01,-0.52
1909-04-01,-0.59
1909-05-01,-0.48
1909-06-01,-0.46
1909-07-01,-0.40
1909-08-01,-0.33
1909-09-01,-0.36
1909-10-01,-0.39
1909-11-01,-0.38
1909-12-01,-0.43
1910-01-01,-0.30
1910-02-01,-0.35
1910-03-01,-0.52
1910-04-01,-0.37
1910-05-01,-0.31
1910-06-01,-0.32
1910-07-01,-0.30
1910-08-01,-0.37
1910-09-01,-0.38
1910-10-01,-0.44
1910-11-01,-0.51
1910-12-01,-0.61
1911-01-01,-0.54
1911-02-01,-0.55
1911-03-01,-0.58
1911-04-01,-0.51
1911-05-01,-0.46
1911-06-01,-0.45
1911-07-01,-0.41
1911-08-01,-0.44
1911-09-01,-0.39
1911-10-01,-0.32
1911-11-01,-0.16
1911-12-01,-0.13
1912-01-01,-0.24
1912-02-01,-0.18
1912-03-01,-0.32
1912-04-01,-0.19
1912-05-01,-0.18
1912-06-01,-0.18
1912-07-01,-0.38
1912-08-01,-0.43
1912-09-01,-0.52
1912-10-01,-0.54
1912-11-01,-0.38
1912-12-01,-0.45
1913-01-01,-0.34
1913-02-01,-0.41
1913-03-01,-0.39
1913-04-01,-0.34
1913-05-01,-0.40
1913-06-01,-0.40
1913-07-01,-0.33
1913-08-01,-0.31
1913-09-01,-0.34
1913-10-01,-0.33
1913-11-01,-0.25
1913-12-01,-0.07
1914-01-01,0.05
1914-02-01,-0.06
1914-03-01,-0.18
1914-04-01,-0.29
1914-05-01,-0.19
1914-06-01,-0.22
1914-07-01,-0.24
1914-08-01,-0.18
1914-09-01,-0.18
1914-10-01,-0.11
1914-11-01,-0.12
1914-12-01,0.00
1915-01-01,-0.17
1915-02-01,-0.01
1915-03-01,-0.05
1915-04-01,0.08
1915-05-01,0.00
1915-06-01,-0.11
1915-07-01,-0.06
1915-08-01,-0.11
1915-09-01,-0.19
1915-10-01,-0.21
1915-11-01,-0.13
1915-12-01,-0.24
1916-01-01,-0.21
1916-02-01,-0.16
1916-03-01,-0.26
1916-04-01,-0.24
1916-05-01,-0.26
1916-06-01,-0.36
1916-07-01,-0.31
1916-08-01,-0.27
1916-09-01,-0.28
1916-10-01,-0.30
1916-11-01,-0.41
1916-12-01,-0.70
1917-01-01,-0.61
1917-02-01,-0.64
1917-03-01,-0.64
1917-04-01,-0.52
1917-05-01,-0.53
1917-06-01,-0.41
1917-07-01,-0.26
1917-08-01,-0.22
1917-09-01,-0.21
1917-10-01,-0.38
1917-11-01,-0.33
1917-12-01,-0.48
1918-01-01,-0.45
1918-02-01,-0.39
1918-03-01,-0.28
1918-04-01,-0.41
1918-05-01,-0.40
1918-06-01,-0.34
1918-07-01,-0.28
1918-08-01,-0.29
1918-09-01,-0.16
1918-10-01,-0.11
1918-11-01,-0.08
1918-12-01,-0.26
1919-01-01,-0.15
1919-02-01,-0.19
1919-03-01,-0.19
1919-04-01,-0.08
1919-05-01,-0.22
1919-06-01,-0.30
1919-07-01,-0.27
1919-08-01,-0.32
1919-09-01,-0.24
1919-10-01,-0.20
1919-11-01,-0.35
1919-12-01,-0.39
1920-01-01,-0.26
1920-02-01,-0.30
1920-03-01,-0.11
1920-04-01,-0.23
1920-05-01,-0.25
1920-06-01,-0.28
1920-07-01,-0.27
1920-08-01,-0.24
1920-09-01,-0.18
1920-10-01,-0.26
1920-11-01,-0.24
1920-12-01,-0.42
1921-01-01,-0.10
1921-02-01,-0.19
1921-03-01,-0.23
1921-04-01,-0.26
1921-05-01,-0.21
1921-06-01,-0.23
1921-07-01,-0.13
1921-08-01,-0.19
1921-09-01,-0.18
1921-10-01,-0.08
1921-11-01,-0.15
1921-12-01,-0.15
1922-01-01,-0.30
1922-02-01,-0.40
1922-03-01,-0.11
1922-04-01,-0.20
1922-05-01,-0.27
1922-06-01,-0.24
1922-07-01,-0.26
1922-08-01,-0.27
1922-09-01,-0.30
1922-10-01,-0.29
1922-11-01,-0.16
1922-12-01,-0.21
1923-01-01,-0.26
1923-02-01,-0.39
1923-03-01,-0.33
1923-04-01,-0.35
1923-05-01,-0.27
1923-06-01,-0.21
1923-07-01,-0.29
1923-08-01,-0.32
1923-09-01,-0.26
1923-10-01,-0.19
1923-11-01,-0.05
1923-12-01,0.00
1924-01-01,-0.18
1924-02-01,-0.18
1924-03-01,-0.07
1924-04-01,-0.22
1924-05-01,-0.11
1924-06-01,-0.23
1924-07-01,-0.22
1924-08-01,-0.30
1924-09-01,-0.29
1924-10-01,-0.32
1924-11-01,-0.22
1924-12-01,-0.37
1925-01-01,-0.37
1925-02-01,-0.40
1925-03-01,-0.27
1925-04-01,-0.25
1925-05-01,-0.24
1925-06-01,-0.28
1925-07-01,-0.24
1925-08-01,-0.17
1925-09-01,-0.13
1925-10-01,-0.17
1925-11-01,0.02
1925-12-01,0.08
1926-01-01,0.12
1926-02-01,0.00
1926-03-01,0.09
1926-04-01,-0.11
1926-05-01,-0.17
1926-06-01,-0.16
1926-07-01,-0.22
1926-08-01,-0.12
1926-09-01,-0.13
1926-10-01,-0.08
1926-11-01,-0.06
1926-12-01,-0.21
1927-01-01,-0.27
1927-02-01,-0.20
1927-03-01,-0.33
1927-04-01,-0.26
1927-05-01,-0.21
1927-06-01,-0.20
1927-07-01,-0.16
1927-08-01,-0.14
1927-09-01,-0.09
1927-10-01,-0.02
1927-11-01,-0.06
1927-12-01,-0.25
1928-01-01,-0.05
1928-02-01,-0.11
1928-03-01,-0.23
1928-04-01,-0.24
1928-05-01,-0.18
1928-06-01,-0.29
1928-07-01,-0.16
1928-08-01,-0.19
1928-09-01,-0.16
1928-10-01,-0.18
1928-11-01,-0.11
1928-12-01,-0.14
1929-01-01,-0.42
1929-02-01,-0.49
1929-03-01,-0.32
1929-04-01,-0.36
1929-05-01,-0.32
1929-06-01,-0.34
1929-07-01,-0.29
1929-08-01,-0.24
1929-09-01,-0.23
1929-10-01,-0.14
1929-11-01,-0.12
1929-12-01,-0.45
1930-01-01,-0.29
1930-02-01,-0.26
1930-03-01,-0.08
1930-04-01,-0.19
1930-05-01,-0.16
1930-06-01,-0.12
1930-07-01,-0.12
1930-08-01,-0.11
1930-09-01,-0.10
1930-10-01,-0.05
1930-11-01,0.14
1930-12-01,-0.02
1931-01-01,-0.07
1931-02-01,-0.17
1931-03-01,-0.07
1931-04-01,-0.15
1931-05-01,-0.13
1931-06-01,-0.01
1931-07-01,0.00
1931-08-01,-0.01
1931-09-01,0.00
1931-10-01,0.02
1931-11-01,-0.09
1931-12-01,-0.06
1932-01-01,0.10
1932-02-01,-0.13
1932-03-01,-0.14
1932-04-01,-0.04
1932-05-01,-0.14
1932-06-01,-0.17
1932-07-01,-0.15
1932-08-01,-0.15
1932-09-01,-0.10
1932-10-01,-0.10
1932-11-01,-0.23
1932-12-01,-0.23
1933-01-01,-0.26
1933-02-01,-0.31
1933-03-01,-0.26
1933-04-01,-0.20
1933-05-01,-0.25
1933-06-01,-0.29
1933-07-01,-0.21
1933-08-01,-0.19
1933-09-01,-0.26
1933-10-01,-0.20
1933-11-01,-0.27
1933-12-01,-0.34
1934-01-01,-0.26
1934-02-01,-0.04
1934-03-01,-0.30
1934-04-01,-0.28
1934-05-01,-0.07
1934-06-01,-0.08
1934-07-01,-0.09
1934-08-01,-0.09
1934-09-01,-0.11
1934-10-01,-0.02
1934-11-01,0.08
1934-12-01,-0.01
1935-01-01,-0.30
1935-02-01,0.11
1935-03-01,-0.13
1935-04-01,-0.31
1935-05-01,-0.24
1935-06-01,-0.20
1935-07-01,-0.15
1935-08-01,-0.14
1935-09-01,-0.13
1935-10-01,-0.04
1935-11-01,-0.23
1935-12-01,-0.11
1936-01-01,-0.30
1936-02-01,-0.36
1936-03-01,-0.20
1936-04-01,-0.13
1936-05-01,-0.08
1936-06-01,-0.11
1936-07-01,-0.06
1936-08-01,-0.08
1936-09-01,-0.08
1936-10-01,-0.05
1936-11-01,0.01
1936-12-01,0.00
1937-01-01,-0.09
1937-02-01,0.01
1937-03-01,-0.19
1937-04-01,-0.12
1937-05-01,-0.02
1937-06-01,0.03
1937-07-01,0.01
1937-08-01,0.06
1937-09-01,0.15
1937-10-01,0.11
1937-11-01,0.13
1937-12-01,0.03
1938-01-01,0.07
1938-02-01,0.02
1938-03-01,0.05
1938-04-01,0.07
1938-05-01,-0.03
1938-06-01,-0.09
1938-07-01,-0.06
1938-08-01,-0.03
1938-09-01,0.06
1938-10-01,0.12
1938-11-01,0.07
1938-12-01,-0.07
1939-01-01,-0.09
1939-02-01,-0.10
1939-03-01,-0.16
1939-04-01,-0.04
1939-05-01,-0.02
1939-06-01,-0.02
1939-07-01,-0.02
1939-08-01,0.01
1939-09-01,-0.02
1939-10-01,-0.02
1939-11-01,0.06
1939-12-01,0.46
1940-01-01,0.08
1940-02-01,0.07
1940-03-01,0.13
1940-04-01,0.21
1940-05-01,0.16
1940-06-01,0.12
1940-07-01,0.14
1940-08-01,0.11
1940-09-01,0.17
1940-10-01,0.15
1940-11-01,0.17
1940-12-01,0.33
1941-01-01,0.21
1941-02-01,0.32
1941-03-01,0.11
1941-04-01,0.23
1941-05-01,0.21
1941-06-01,0.16
1941-07-01,0.22
1941-08-01,0.20
1941-09-01,0.08
1941-10-01,0.36
1941-11-01,0.26
1941-12-01,0.25
1942-01-01,0.30
1942-02-01,0.05
1942-03-01,0.08
1942-04-01,0.13
1942-05-01,0.15
1942-06-01,0.10
1942-07-01,0.00
1942-08-01,-0.01
1942-09-01,0.00
1942-10-01,0.03
1942-11-01,0.08
1942-12-01,0.11
1943-01-01,-0.03
1943-02-01,0.11
1943-03-01,-0.02
1943-04-01,0.13
1943-05-01,0.12
1943-06-01,-0.02
1943-07-01,0.06
1943-08-01,0.02
1943-09-01,0.08
1943-10-01,0.25
1943-11-01,0.23
1943-12-01,0.23
1944-01-01,0.30
1944-02-01,0.25
1944-03-01,0.30
1944-04-01,0.20
1944-05-01,0.23
1944-06-01,0.23
1944-07-01,0.20
1944-08-01,0.18
1944-09-01,0.32
1944-10-01,0.29
1944-11-01,0.13
1944-12-01,0.16
1945-01-01,0.17
1945-02-01,0.05
1945-03-01,0.09
1945-04-01,0.25
1945-05-01,0.11
1945-06-01,0.10
1945-07-01,0.11
1945-08-01,0.28
1945-09-01,0.22
1945-10-01,0.17
1945-11-01,0.10
1945-12-01,-0.04
1946-01-01,0.17
1946-02-01,0.00
1946-03-01,0.01
1946-04-01,0.06
1946-05-01,-0.02
1946-06-01,-0.17
1946-07-01,-0.11
1946-08-01,-0.12
1946-09-01,-0.06
1946-10-01,-0.03
1946-11-01,-0.02
1946-12-01,-0.21
1947-01-01,-0.03
1947-02-01,-0.04
1947-03-01,0.05
1947-04-01,0.05
1947-05-01,0.02
1947-06-01,0.04
1947-07-01,-0.02
1947-08-01,-0.09
1947-09-01,-0.12
1947-10-01,0.05
1947-11-01,0.00
1947-12-01,-0.05
